link,text,date,no_of_likes,no_of_comments
https://twitter.com/NunoAdams/status/1815080805095637065#m,"After President Williams Ruto's speech in Bomet, residents Chant MWIZI ! MWIZI !.. Wananchi wamesema Enough is Enough  #OccupyJKIA","Jul 21, 2024 · 5:46 PM UTC",0,4
https://twitter.com/LemonGypsum/status/1815080631908577454#m,Huwesi vanya kitu pila Idy 🆔  #Itumbi #OccupyJKIA #Kimuzi #Amerix,"Jul 21, 2024 · 5:45 PM UTC",2,0
https://twitter.com/feedlot_guru/status/1815080121662931277#m,You don't lecture Kenyans like they're your kids #OccupyJKIA,"Jul 21, 2024 · 5:43 PM UTC",0,0
https://twitter.com/ZagahDat/status/1815079998606266771#m,Siezi kosa The Citizen Assembly. #Amerix #OccupyJKIA,"Jul 21, 2024 · 5:42 PM UTC",1,0
https://twitter.com/AllanObare4/status/1815079822638338458#m,If you know of anyone who went missing during the protests. Dm me with their names and photos we amplify so that our brothers and sisters get back to their homes. #OccupyJKIA,"Jul 21, 2024 · 5:42 PM UTC",7,0
https://twitter.com/thedukeofmolo/status/1815079800932815140#m,Enough is Enough  #RutoMustGo #RutoNaRailaMustGo #OccupyJKIA,"Jul 21, 2024 · 5:42 PM UTC",0,0
https://twitter.com/Mster_Shifuu/status/1815079745274404963#m,#OccupyJKIA,"Jul 21, 2024 · 5:41 PM UTC",0,0
https://twitter.com/moderatorkox/status/1815079309595296051#m,Hasira tupeleke #OccupyJKIA,"Jul 21, 2024 · 5:40 PM UTC",0,0
https://twitter.com/NikCourier/status/1815079210077089855#m,I like your thought process. Let it be studied. #OccupyJKIA #RutoMustGo,"Jul 21, 2024 · 5:39 PM UTC",0,0
https://twitter.com/MugaBarack/status/1815079180142526835#m,This was the biggest joke and faul play Kenyans fell for😂😂😂 #RutoMustGo #occupyJKIA,"Jul 21, 2024 · 5:39 PM UTC",1,0
https://twitter.com/_fuchiko0/status/1815079037649514617#m,#RutoMustGo #OccupyJkia,"Jul 21, 2024 · 5:38 PM UTC",0,0
https://twitter.com/Mster_Shifuu/status/1815078586883145754#m,Checkmate  #OccupyJKIA,"Jul 21, 2024 · 5:37 PM UTC",1,0
https://twitter.com/thedukeofmolo/status/1815078535394181559#m,Enough is Enough  #RutoMustGo #RutoNaRailaMustGo #OccupyJKIA,"Jul 21, 2024 · 5:37 PM UTC",0,0
https://twitter.com/thedukeofmolo/status/1815078325750280687#m,Enough is Enough  #RutoMustGo #RutoNaRailaMustGo #OccupyJKIA,"Jul 21, 2024 · 5:36 PM UTC",0,0
https://twitter.com/rnjogu/status/1815077813315100835#m,@AtradesGold post #occupyjkia 😂😂😂,"Jul 21, 2024 · 5:34 PM UTC",0,0
https://twitter.com/thedukeofmolo/status/1815077378055364936#m,Enough is Enough  #RutoMustGo #RutoNaRailaMustGo #OccupyJKIA,"Jul 21, 2024 · 5:32 PM UTC",0,0
https://twitter.com/THESBJMATTER/status/1815076975951929719#m,Aluta continua! #OccupyJKIA #RutoMustGo,"Jul 21, 2024 · 5:30 PM UTC",0,0
https://twitter.com/thedukeofmolo/status/1815076583817802225#m,Enough is Enough  #RutoMustGo #RutoNaRailaMustGo #OccupyJKIA,"Jul 21, 2024 · 5:29 PM UTC",0,0
https://twitter.com/adrine_gey/status/1815076139896832163#m,#RutoMustGo #OccupyJKIA,"Jul 21, 2024 · 5:27 PM UTC",0,0
https://twitter.com/thedukeofmolo/status/1815076105046589817#m,Enough is Enough  #RutoMustGo #RutoNaRailaMustGo #OccupyJKIA,"Jul 21, 2024 · 5:27 PM UTC",0,0
https://twitter.com/mtumboka/status/1815076022137598365#m,Just Retweet.  #OccupyJKIA,"Jul 21, 2024 · 5:27 PM UTC",0,0
https://twitter.com/bubbs_254/status/1815075850104053936#m,#OccupyJKIA,"Jul 21, 2024 · 5:26 PM UTC",0,0
https://twitter.com/thedukeofmolo/status/1815075280710439203#m,Enough is Enough  #RutoMustGo #RutoNaRailaMustGo #OccupyJKIA,"Jul 21, 2024 · 5:24 PM UTC",0,0
https://twitter.com/adrine_gey/status/1815075123784802375#m,#OccupyJKIA #OccupyJKIA #OccupyJKIA #OccupyJKIA #OccupyJKIA,"Jul 21, 2024 · 5:23 PM UTC",1,0
https://twitter.com/adrine_gey/status/1815074885367898453#m,#OccupyJKIA #OccupyJKIA,"Jul 21, 2024 · 5:22 PM UTC",1,0
https://twitter.com/adrine_gey/status/1815074708934557951#m,#OccupyJKIA #RutoMustGo,"Jul 21, 2024 · 5:21 PM UTC",1,0
https://twitter.com/adrine_gey/status/1815074576931651678#m,#OccupyJKIA,"Jul 21, 2024 · 5:21 PM UTC",1,0
https://twitter.com/_fuchiko0/status/1815074320215158887#m,#RutoMustGo #OccupyJKIA,"Jul 21, 2024 · 5:20 PM UTC",0,0
https://twitter.com/LAshono13839/status/1815074277286158417#m,"Amerix, Itumbi, muhoho, enough is enough aside, Raila is being shown dust right-left. Sign the petition #OccupyJKIA","Jul 21, 2024 · 5:20 PM UTC",1,0
https://twitter.com/LemonGypsum/status/1815073994015674606#m,"""Tower 🗼 2 in Maldives international airport are you copying me?asking permission to land ""nikujipanga Tuesday to jus incase niponyoke na Boeing ✈️. #Muhoho #Amerix #OccupyJKIA #TupataneTuesday #Kimuzi #Osama","Jul 21, 2024 · 5:18 PM UTC",5,0
https://twitter.com/DONALDJ85148279/status/1815072976603136341#m,#OccupyKenya #OccupyJKIA 2027 IS FAR AWAY ZAKAYO ASHUKE #RutoMustGo #RutoMustGoNow #StopRutoBetrayal,"Jul 21, 2024 · 5:14 PM UTC",0,0
https://twitter.com/matokasarani/status/1815072630367457710#m,26k sojas pale kwa Amerix zakayo shuka.  #RutoMustGo #occupyJKIA,"Jul 21, 2024 · 5:13 PM UTC",0,0
https://twitter.com/TweetOf3people/status/1815072327064838193#m,#OccupyJKIA,"Jul 21, 2024 · 5:12 PM UTC",0,0
https://twitter.com/cfcWa_G/status/1815072247901458647#m,"Polo Kimani really pioneered this movement,respect man🙌🏾 #RutoMustGo #OccupyJKIA","Jul 21, 2024 · 5:12 PM UTC",6,0
https://twitter.com/OsamaAdan6/status/1815071307299745909#m,#occupyJKIA,"Jul 21, 2024 · 5:08 PM UTC",0,0
https://twitter.com/moses_akungu/status/1815070792595509751#m,"Hapo Tuesday nikijaribu kuhepa na Kenya Airways pale JKIA niende Minnesotta, USA #OccupyJKIA","Jul 21, 2024 · 5:06 PM UTC",2,0
https://twitter.com/biggie_tero/status/1815070735037038779#m,Masaa ya assembly imefika haiya wapi nyinyi #RutoMustGo #Occupyjkia,"Jul 21, 2024 · 5:06 PM UTC",0,0
https://twitter.com/LAshono13839/status/1815070621174210596#m,"Amerix, Itumbi, muhoho, enough is enough aside, Raila is being shown dust right-left. #OccupyJKIA","Jul 21, 2024 · 5:05 PM UTC",2,0
https://twitter.com/EricMuriuki_Law/status/1815070600525725971#m,We are truly living in unprecedented times! This alone is grounds enough for Parliament to reject @HonAdenDuale at vetting! Why is the ministry of Defense of another country celebrating Duale's reappointment? What don't we know? What are they confirming? #OccupyJKIA,"Jul 21, 2024 · 5:05 PM UTC",0,0
https://twitter.com/Yatich_Dy/status/1815070535572996515#m,"haha Director of Tactic operations,tell us more kiongosi #RutoMustGo #OccupyJKIA","Jul 21, 2024 · 5:05 PM UTC",0,0
https://twitter.com/Brazah_masole/status/1815070437870612709#m,Let's find them.. they need us more  #RutoMustGo #Occupyjkia,"Jul 21, 2024 · 5:04 PM UTC",1,0
https://twitter.com/2rspresijento/status/1815070399819866190#m,Patriot anarchism is the number one leading liberation strategy since the 2 nd industrial revolution.  We can do this. #occupyJKIA,"Jul 21, 2024 · 5:04 PM UTC",1,0
https://twitter.com/drlab027/status/1815069983266992149#m,Bomet chanting #RutoMustGo melts my heart.  He's not here that Long! #RutoMustGo #OccupyJKIA,"Jul 21, 2024 · 5:03 PM UTC",0,0
https://twitter.com/cyiengi/status/1815069354150842412#m,https://x.com/i/spaces/1OyKAZPWLMgGb #RutoMustGo #OccupyJKIA,"Jul 21, 2024 · 5:00 PM UTC",0,0
https://twitter.com/ObareChristine/status/1815069223342719298#m,Life is not a Nigerian movie #OccupyJKIA #RutoMustGo,"Jul 21, 2024 · 4:59 PM UTC",0,0
https://twitter.com/thedukeofmolo/status/1815068838674776405#m,Enough is Enough  #RutoMustGo #RutoNaRailaMustGo #OccupyJKIA,"Jul 21, 2024 · 4:58 PM UTC",0,0
https://twitter.com/drlab027/status/1815068601893720142#m,The plain clothe policemen will see what Onyang'o one touch saw in Namba Okana in 1906 very soon...one by one..siku itafika! #RutoMustGo #OccupyJKIA,"Jul 21, 2024 · 4:57 PM UTC",1,0
https://twitter.com/_fuchiko0/status/1815068421379293369#m,"This should be the last taste of power we giving @WilliamsRuto , hata kama ni kupita na yeye, mnipee sniper rifle🤝🤝 #RutoMustGo #occupyjkia","Jul 21, 2024 · 4:56 PM UTC",0,0
https://twitter.com/its_kurui/status/1815068017405092257#m,Hate or love yourself in 6 months... for choices you make today.  It will never feel like 'the right' time. You will never feel 'ready'.  Wherever you're at... just start.  Start liberating you nation now!  #occupyJKIA #RutoMustGo,"Jul 21, 2024 · 4:55 PM UTC",0,0
https://twitter.com/drlab027/status/1815067891257000233#m,"Mr Ruto has reached a point I can only equate to ""sikio la kufa"" Guys ,it's imminent! #RutoMustGo #OccupyJKIA","Jul 21, 2024 · 4:54 PM UTC",0,0
https://twitter.com/iankirui01/status/1815067639871328681#m,Socks5 ✅️ Vpn ✅️ GPS spoofer ✅️ KFC ✅️ Iphone✅️ Uber✅️  I am very ready for Tuesday   #OccupyKenya #RutoMustGo #OccupyJKIA,"Jul 21, 2024 · 4:53 PM UTC",0,0
https://twitter.com/Bigdadidavid2/status/1815067510846165337#m,Jkia will not operate until the whole world know. #occupyjkia,"Jul 21, 2024 · 4:53 PM UTC",0,0
https://twitter.com/ChieraArthur/status/1815067458123821131#m,Tuesday mambo ikienda vizuri nitakupata huko  #OccupyJKIA,"Jul 21, 2024 · 4:52 PM UTC",0,0
https://twitter.com/drlab027/status/1815066855695888842#m,"Whomever said Mr Ruto is a passing cloud ci rrus!😁 Kiraitu wapi  ""nimbus"" #RutoMustGo #OccupyJKIA","Jul 21, 2024 · 4:50 PM UTC",0,0
